time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_loc
2023-11-04T11:57:41.893Z,53.9602,-164.0354,25.6,2.6,ml,,,,0.35,ak,ak023e5keypj,2023-11-04T15:18:35.834Z,"107 km SSW of False Pass, Alaska",earthquake,,1.5,,,reviewed,ak,ak,5714.745486578189
2023-11-04T14:03:24.481Z,14.0271,-91.5425,54.866,4.2,mb,25.0,178.0,1.716,0.75,us,us7000l8vc,2023-11-04T16:31:38.040Z,"32 km SW of Nueva Concepción, Guatemala",earthquake,4.83,17.899,0.084,39.0,reviewed,us,us,5756.431888632612
2023-11-04T11:00:36.451Z,6.7225,-73.078,158.062,4.6,mb,74.0,45.0,0.825,0.64,us,us7000l8uy,2023-11-04T11:48:59.040Z,northern Colombia,earthquake,9.53,8.188,0.029,344.0,reviewed,us,us,6041.925971875341
2023-11-04T07:20:31.928Z,51.9051,-173.6997,13.8,2.4,ml,,,,0.43,ak,ak023e5hta3k,2023-11-04T14:42:20.442Z,"47 km SE of Atka, Alaska",earthquake,,1.9,,,reviewed,ak,ak,6277.065065488937
2023-11-04T09:12:40.899Z,51.1361,179.1693,35.0,4.0,ml,37.0,196.0,0.902,0.45,us,us7000l8uf,2023-11-04T15:06:19.517Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,11.5,2.013,0.077,22.0,reviewed,us,us,6606.374301783952
2023-11-04T08:12:52.505Z,51.097,179.0667,20.8,3.0,ml,,,,0.35,ak,ak023e5id1s5,2023-11-04T14:52:07.711Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.6,,,reviewed,ak,ak,6613.687753708536
2023-11-04T03:34:51.234Z,51.7889,174.0456,10.0,4.6,mb,64.0,129.0,0.943,0.83,us,us7000l8t9,2023-11-04T04:06:37.040Z,"131 km SSE of Attu Station, Alaska",earthquake,5.98,1.78,0.049,123.0,reviewed,us,us,6711.824003501459
2023-11-03T21:48:22.910Z,47.7649,153.5117,10.0,4.8,mb,48.0,137.0,5.98,0.61,us,us7000l8rm,2023-11-03T23:35:50.040Z,Kuril Islands,earthquake,7.16,1.791,0.068,67.0,reviewed,us,us,7676.441543462669
2023-11-04T19:55:33.875Z,37.5842,73.9941,10.0,4.5,mwr,49.0,105.0,2.557,0.56,us,us7000l8wg,2023-11-04T21:20:23.040Z,"65 km S of Murghob, Tajikistan",earthquake,7.15,1.892,0.052,36.0,reviewed,us,us,8344.926548046047
2023-11-04T05:57:12.820Z,19.3143329620361,-155.218994140625,-0.25,1.74000001,md,35.0,128.0,,0.159999996,hv,hv73638752,2023-11-04T06:00:17.520Z,"14 km S of Volcano, Hawaii",earthquake,0.27,0.310000002,0.349999994,19.0,automatic,hv,hv,8494.111088213793
2023-11-04T09:16:19.890Z,19.2948341369629,-155.389663696289,1.12000000476837,2.05999994,md,18.0,158.0,,0.230000004,hv,hv73638847,2023-11-04T09:19:31.880Z,"13 km NE of Pāhala, Hawaii",earthquake,0.56,0.689999998,2.20000005,4.0,automatic,hv,hv,8505.130910324966
2023-11-03T22:01:32.140Z,19.2894992828369,-155.380661010742,1.95000004768372,1.88,md,22.0,126.0,,0.180000007,hv,hv73638587,2023-11-03T22:04:35.600Z,"14 km NE of Pāhala, Hawaii",earthquake,0.41,0.629999995,1.36000001,10.0,automatic,hv,hv,8505.157953043448
2023-11-04T17:50:57.290Z,19.2876663208008,-155.38166809082,1.3400000333786,1.75999999,md,15.0,178.0,,0.129999995,hv,hv73639017,2023-11-04T17:54:03.580Z,"Hawaii region, Hawaii",earthquake,0.48,0.610000014,0.219999999,5.0,automatic,hv,hv,8505.387159533278
2023-11-03T23:31:52.210Z,19.8828333333333,-156.69,41.22,3.9,ml,59.0,212.0,,0.18,hv,hv73638622,2023-11-04T17:58:03.347Z,"76 km WNW of Kalaoa, Hawaii",earthquake,0.59,1.45,0.166357229729158,48.0,reviewed,hv,hv,8518.401592900129
2023-11-04T00:53:25.200Z,19.2015,-155.488,32.03,3.02,ml,61.0,57.0,,0.12,hv,hv73638662,2023-11-04T20:29:44.133Z,"Hawaii region, Hawaii",earthquake,0.38,0.46,0.168014890996533,42.0,reviewed,hv,hv,8519.326450721013
